24,28,22,12,35:3,11
14,41,32,16,43:9,4
24,21,17,48,50:2,1
29,2,17,31,30:7,5
37,33,27,48,16:8,3
1,21,44,11,8:3,12
6,34,16,36,47:1,6
42,20,29,32,12:12,6
10,49,48,50,31:4,10
25,34,45,39,36:12,4
25,29,9,3,4:4,9
10,46,28,44,27:10,6
42,39,35,43,30:3,7
21,22,7,35,30:10,3
5,2,12,7,48:9,4
21,41,12,50,26:6,8
13,45,22,39,40:11,9
46,45,3,18,26:10,12
37,14,41,49,30:3,12
25,41,2,44,15:3,6
14,9,12,31,11:5,1
44,12,39,11,15:5,2
32,35,18,50,19:2,7
29,21,3,35,47:12,5
42,46,27,49,8:12,5
20,29,2,12,7:5,9
25,9,45,27,4:8,11
14,32,23,19,4:12,1
14,46,45,50,30:7,8
25,46,1,13,48:4,2
13,27,39,43,40:7,12
35,11,40,8,47:4,6
2,34,17,40,15:5,7
42,38,33,11,47:7,8
45,17,3,35,30:2,8
46,38,49,7,30:5,3
37,6,27,3,11:7,10
49,18,50,11,15:7,12
29,2,34,27,15:1,7
32,34,35,43,30:5,9
21,41,2,12,23:7,3
14,6,22,40,8:2,8
25,33,9,11,23:6,1
29,13,45,7,3:11,4
20,46,29,16,23:2,4
38,33,17,11,8:2,4
6,49,31,23,47:11,7
38,41,34,3,36:10,9
6,21,45,39,47:4,2
46,6,45,39,23:8,6
24,6,9,50,47:7,12
25,28,32,34,12:2,4
10,46,13,34,43:10,11
6,48,18,50,40:10,9
37,25,8,19,47:5,6
45,35,31,11,40:3,5
5,38,33,18,23:9,12
14,6,41,44,19:12,5
42,33,49,16,43:2,4
5,17,18,36,30:2,9
37,34,7,40,30:1,12
20,27,39,35,23:11,10
10,45,31,26,36:9,5
20,7,48,8,47:7,2
20,45,27,16,40:9,8
14,21,33,27,15:11,9
5,33,17,48,18:5,1
10,14,34,23,19:2,12
33,34,39,50,30:7,6
17,49,3,48,23:6,11
46,32,35,40,4:1,7
37,29,6,18,31:2,12
25,22,16,23,4:6,10
46,6,13,27,26:4,3
2,12,49,3,26:7,11
42,25,20,13,49:6,5
1,17,3,18,26:6,12
20,38,17,44,47:1,9
37,39,50,30,15:2,1
5,2,7,40,36:7,12
20,9,49,40,26:1,7
25,35,48,11,40:1,5
10,45,17,48,16:6,12
6,2,44,49,18:3,6
38,41,35,18,15:3,11
46,28,33,45,40:1,3
45,22,12,48,30:7,9
14,20,27,50,15:12,1
49,35,18,30,4:1,5
37,22,27,8,30:3,2
29,28,7,43,19:7,11
24,1,6,7,36:11,1
37,46,33,9,45:4,5
14,28,17,27,39:9,1
25,21,34,17,43:12,1
42,29,21,11,4:2,5
5,9,12,35,48:12,9
25,14,17,44,49:8,4
37,18,50,19,15:4,2
37,29,9,35,4:2,12
